title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Eddie the Eagle,23000000,15785632,7.4,54,6084682,PG-13,26/02/2016,106,86,32,321,242,64.2,55.6,9,5,38,33,7.6,7.2,90,34,90,34,90,59,9,5,9,5,9,7,54,54,108,108,54,54,7,7,14,14,7,7
Eden,2000000,0,4.7,82,0,R,19/06/2015,131,96,11,392,232,78.4,63,9,2,40,29,8,7.2,49,49,49,49,49,49,6,6,6,6,6,6,,,,,,,,,,,,
Edge of Tomorrow,178000000,100189501,7.9,71,28760246,PG-13,06/06/2014,113,87,12,407,145,81.4,58.8,9,1,45,21,9,7.6,85,25,85,25,85,60,9,2,9,2,9,8,77,34,148,71,74,58.5,9,2,18,7,9,6.5
Effie Gray,0,0,5.9,54,0,PG-13,03/04/2015,104,84,19,343,204,68.6,54.8,9,4,37,28,7.4,6.6,,,,,,,,,,,,,89,27,89,27,89,59,9,4,9,4,9,7
Eisenstein in Guanajuato,2472000,34282,6.3,60,9823,,05/02/2016,105,74,60,314,300,62.8,61.4,9,5,29,25,5.8,5.8,76,36,76,36,76,59,8,3,8,3,8,7,76,36,76,36,76,59,8,3,8,3,8,7
Elle,23000000,25556065,8,89,260382,R,11/11/2016,130,95,18,365,191,91.25,71.5,9,3,36,19,9,7.75,90,42,90,42,90,69,9,7,9,7,9,8,90,42,90,42,90,69,9,7,9,7,9,8
Elsa & Fred,0,0,6.5,49,0,PG-13,07/11/2014,97,90,20,430,188,86,60.6,9,3,43,25,8.6,6.8,81,41,81,41,81,57,8,5,8,5,8,8,66,48,118,100,59,54.5,7,7,14,14,7,7
Elstree 1976,135000,11757,6,66,3270,,06/05/2016,90,81,66,279,264,69.75,68,9,5,24,20,6,6,,,,,,,,,,,,,,,,,,,,,,,,
Elvis & Nixon,0,1031598,6.4,59,466447,R,22/04/2016,86,95,11,405,107,81,53,10,1,43,11,8.6,6.8,63,59,63,59,63,60,8,6,8,6,8,8,59,59,118,118,59,59,6,6,12,12,6,6
Embrace of the Serpent,1400000,1320005,7.9,82,50955,,17/02/2016,125,82,47,410,375,82,79,8,6,40,38,8,8,82,82,82,82,82,82,8,8,8,8,8,8,82,82,164,164,82,82,8,8,16,16,8,8
