title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Back in the Day,0,0,3.9,7,0,,17/01/2014,94,97,8,430,127,86,58.8,10,1,46,18,9.2,7,66,15,66,15,66,42,10,5,10,5,10,8,39,15,39,15,39,26,9,5,9,5,9,9
Backcountry,0,0,6,62,0,R,20/03/2015,92,72,25,196,133,65.3333,54.3333,9,3,24,15,8,6.6667,62,37,62,37,62,50,6,6,6,6,6,6,62,37,62,37,62,50,6,6,6,6,6,6
Backgammon,0,0,3.5,22,0,,11/03/2016,89,72,20,272,149,54.4,42,8,2,34,25,6.8,6.4,22,22,22,22,22,22,6,6,6,6,6,6,22,22,44,44,22,22,6,6,12,12,6,6
Backtrack,0,0,5.9,43,0,R,26/02/2016,90,88,1,216,69,72,50.6667,9,1,25,10,8.3333,7,69,30,69,30,69,46,9,5,9,5,9,7,69,30,69,30,69,46,9,5,9,5,9,7
Bad Hurt,0,0,6,65,0,,12/02/2016,101,86,18,371,137,74.2,52.8,10,2,37,14,7.4,6.4,65,65,65,65,65,65,3,3,3,3,3,3,65,19,130,84,65,53.5,4,3,7,6,3.5,3.5
Bad Moms,20000000,113078694,6.2,60,23817340,R,29/07/2016,100,82,18,376,107,75.2,50.2,10,1,45,13,9,6.4,73,30,146,60,73,42.5,8,5,16,10,8,6,73,30,146,60,73,42.5,8,5,16,10,8,6
Bad Santa 2,26000000,17664973,5.5,38,6176680,R,23/11/2016,92,87,11,390,107,78,48.2,10,1,45,13,9,6.6,76,27,76,27,76,52,9,5,9,5,9,7,68,38,106,76,53,43,7,6,13,12,6.5,6
Bad Turn Worse,0,0,5.5,62,0,,14/11/2014,92,82,21,282,108,70.5,49.5,9,2,32,18,8,7.25,62,52,124,114,62,59.5,7,7,14,14,7,7,62,62,62,62,62,62,7,7,7,7,7,7
Bad Words,10000000,7764027,6.7,57,113301,R,14/03/2014,89,84,8,299,101,74.75,53.25,10,1,36,12,9,6.5,83,8,83,8,83,50,9,1,9,1,9,6,57,57,57,57,57,57,6,6,6,6,6,6
Band of Robbers,0,0,6,57,0,,15/01/2016,95,88,31,244,103,81.3333,56,9,4,26,13,8.6667,7,57,57,57,57,57,57,7,7,7,7,7,7,57,57,57,57,57,57,7,7,7,7,7,7
Barbershop: The Next Cut,20000000,54014580,5.9,67,20242415,PG-13,15/04/2016,111,82,11,234,55,78,48.3333,9,1,26,7,8.6667,6,71,11,71,11,71,55,9,3,9,3,9,6,77,22,148,89,74,57,8,3,14,9,7,5.5
Barefoot,6000000,11766,6.6,22,11766,PG-13,21/02/2014,90,93,9,407,89,81.4,50,10,2,46,18,9.2,6.8,65,22,65,22,65,48,9,6,9,6,9,6,22,22,22,22,22,22,6,6,6,6,6,6
Barely Lethal,0,0,5.4,44,0,PG-13,29/05/2015,96,95,12,323,142,64.6,48.4,9,2,36,19,7.2,6.2,70,44,70,44,70,53,8,5,8,5,8,6,44,44,44,44,44,44,5,5,5,5,5,5
Baskin,1100000,4105123,7.6,58,213785,R,25/03/2016,97,81,52,300,248,75,69.25,9,6,34,28,8.5,7.5,75,49,75,49,75,64,9,6,9,6,9,8,75,49,75,49,75,64,9,6,9,6,9,8
Batkid Begins,0,73002,6.8,63,19437,PG,26/06/2015,87,63,39,228,228,57,57,5,3,18,18,4.5,4.5,,,,,,,,,,,,,82,63,82,63,82,73,8,5,8,5,8,8
Batman v Superman: Dawn of Justice,250000000,330249062,6.6,44,166007347,PG-13,25/03/2016,151,95,18,431,120,86.2,53.8,9,1,45,11,9,7,76,33,76,33,76,52,9,6,9,6,9,7,86,30,168,74,84,56.5,9,2,17,8,8.5,7
Before I Disappear,0,2676,7.2,47,2676,,28/11/2014,93,84,14,336,138,67.2,47.2,9,1,41,22,8.2,7.2,52,25,52,25,52,41,7,5,7,5,7,7,52,25,52,25,52,41,7,5,7,5,7,7
Before I Go to Sleep,22000000,2963012,6.3,41,1843347,R,31/10/2014,92,95,21,419,148,83.8,55.2,9,3,42,22,8.4,7,,,,,,,,,,,,,41,41,41,41,41,41,5,5,5,5,5,5
Before the Flood,0,0,8.3,63,0,PG,21/10/2016,96,76,63,338,324,67.6,66.4,9,8,41,40,8.2,8,93,1,93,1,93,54,9,1,9,1,9,6,86,51,86,51,86,71,10,2,10,2,10,7
Before We Go,0,37047,6.9,31,3225,PG-13,04/09/2015,95,84,21,291,100,72.75,49,9,4,32,21,8,7,84,24,84,24,84,53,9,6,9,6,9,7,84,28,115,59,57.5,40.5,9,3,16,10,8,7
Begin Again,8000000,16168741,7.4,62,134064,R,27/06/2014,104,93,12,332,85,83,55.25,9,1,35,12,8.75,6.75,88,62,88,62,88,76,9,8,9,8,9,8,88,62,88,62,88,76,9,8,9,8,9,8
Behaving Badly,3000000,0,4.4,18,0,R,01/08/2014,97,82,12,387,84,77.4,49.6,9,1,44,18,8.8,6.8,18,18,18,18,18,18,6,6,6,6,6,6,18,18,18,18,18,18,6,6,6,6,6,6
Being 17,0,52713,7.2,83,8838,,07/10/2016,116,83,52,415,316,83,73.2,9,2,45,31,9,7.8,83,57,83,57,83,70,9,5,9,5,9,7,85,57,168,122,84,74,9,5,18,12,9,7.5
Being Evel,0,0,7.1,72,0,,21/08/2015,99,72,15,72,15,72,52,9,2,9,2,9,7,72,51,72,51,72,61,7,5,7,5,7,6,86,51,158,102,79,66.5,7,2,14,7,7,6
Believe Me,0,0,4.9,48,0,PG-13,26/09/2014,93,72,16,301,149,60.2,44.8,9,4,38,25,7.6,6.4,48,48,48,48,48,48,6,6,6,6,6,6,48,48,96,96,48,48,6,6,12,12,6,6
Beloved Sisters,0,53686,6.1,66,19704,,09/01/2015,138,89,46,373,304,74.6,67.6,8,5,36,29,7.2,6.8,66,66,66,66,66,66,6,6,6,6,6,6,66,66,66,66,66,66,6,6,6,6,6,6
Ben-Hur,100000000,26384681,5.7,38,11203815,PG-13,19/08/2016,125,82,26,155,53,77.5,53.5,9,3,18,8,9,7,74,16,74,16,74,50,8,5,8,5,8,6,90,38,156,76,78,58,9,5,16,10,8,8
Beneath the Harvest Sky,0,28116,6.2,62,16768,,02/05/2014,116,87,19,366,229,73.2,59.6,9,3,41,30,8.2,7.2,67,62,134,124,67,65,7,7,14,14,7,7,67,62,134,124,67,65,7,7,14,14,7,7
Best Night Ever,0,0,4,17,0,R,31/01/2014,90,29,9,81,60,20.25,18,6,1,21,16,5.25,4.75,49,9,98,18,49,24,7,1,14,2,7,4,49,9,98,18,49,24,7,1,14,2,7,4
Best of Enemies,1000000,891997,7.6,77,50378,R,31/07/2015,87,88,20,338,145,84.5,60.5,10,4,36,23,9,7,83,49,153,107,76.5,64.5,9,7,18,14,9,7.5,70,49,70,49,70,59,9,7,9,7,9,7
Beyond the Lights,7000000,14612840,6.9,73,6500000,PG-13,14/11/2014,116,87,16,303,151,75.75,59,10,2,34,17,8.5,7.25,73,36,73,36,73,59,8,6,8,6,8,8,73,36,73,36,73,59,8,6,8,6,8,8
Beyond the Reach,0,44577,5.6,34,30287,R,17/04/2015,91,86,25,358,185,71.6,53.8,9,4,41,23,8.2,7.2,34,34,34,34,34,34,4,4,4,4,4,4,61,28,95,59,47.5,36,9,1,13,4,6.5,5
Big Bad Wolves,0,32828,6.8,64,7887,,17/01/2014,110,90,50,372,294,74.4,66.8,9,5,39,31,7.8,7.4,64,53,128,106,64,59,7,6,14,12,7,7,64,53,128,106,64,59,7,6,14,12,7,7
Big Eyes,10000000,14479776,7,62,2610026,PG-13,25/12/2014,106,90,12,419,124,83.8,55.8,9,1,44,17,8.8,7,83,21,83,21,83,60,9,4,9,4,9,7,79,7,147,42,73.5,52,9,5,16,11,8,7
Big Game,8500000,16909,5.4,53,16909,PG-13,26/06/2015,110,95,19,392,183,78.4,58.6,9,2,41,22,8.2,7.2,71,53,71,53,71,62,7,5,7,5,7,7,71,53,142,106,71,62,7,5,14,10,7,7
Big Hero 6,165000000,222487711,7.8,74,56215889,PG,07/11/2014,102,76,12,150,36,75,49,9,2,18,5,9,6,74,34,74,34,74,57,9,5,9,5,9,8,78,48,140,109,70,63.5,9,6,17,13,8.5,7.5
Big Sky,0,0,4.5,36,0,,14/08/2015,90,95,21,345,147,69,48,9,3,39,22,7.8,6.4,71,36,71,36,71,54,7,5,7,5,7,5,47,36,47,36,47,42,9,5,9,5,9,9
Big Stone Gap,0,998963,5.7,39,27595,PG-13,09/10/2015,103,86,14,355,145,71,50,9,2,41,21,8.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,
Billy Lynns Long Halftime Walk,40000000,1721524,6.3,53,901062,R,11/11/2016,113,93,25,280,156,70,52.5,9,3,28,18,7,6,93,53,93,53,93,69,9,5,9,5,9,7,53,53,106,106,53,53,6,6,12,12,6,6
Bird People,6500000,14200,6.1,70,7443,,12/09/2014,127,82,22,383,192,76.6,56.6,10,3,39,25,7.8,7,86,70,86,70,86,79,8,6,8,6,8,7,86,70,157,140,78.5,75,8,6,16,13,8,7.5
Birdman or (The Unexpected Virtue of Ignorance),18000000,42335698,7.8,88,424397,R,17/10/2014,119,93,18,450,246,90,68.6,10,3,44,28,8.8,7.4,88,58,88,58,88,71,10,5,10,5,10,8,88,58,176,116,88,72.5,10,5,18,12,9,8
Black Mass,53000000,62563543,6.9,68,22635037,R,18/09/2015,122,96,19,464,146,92.8,59.8,9,2,43,16,8.6,7,83,59,83,59,83,68,9,5,9,5,9,7,75,37,146,94,73,63.5,9,5,18,12,9,7.5
Black or White,15000000,90400000,7.5,45,0,,30/01/2015,121,85,22,364,260,72.8,62.8,9,3,45,37,9,8.6,82,16,82,16,82,50,9,1,9,1,9,7,66,43,132,96,66,57,9,6,18,13,9,9
Black Sea,0,1169381,6.4,62,37675,R,23/01/2015,114,88,23,393,249,78.6,63.4,9,3,40,28,8,7.2,82,55,82,55,82,70,9,4,9,4,9,8,,,,,,,,,,,,
Blackhat,70000000,7097125,5.4,51,4415000,R,16/01/2015,133,84,29,331,128,82.75,54.5,9,1,34,13,8.5,6.75,84,14,84,14,84,65,9,4,9,4,9,7,51,51,51,51,51,51,5,5,5,5,5,5
Blair Witch,5000000,20747013,5,47,9576057,R,16/09/2016,89,,,,,,,,,,,,,76,36,76,36,76,51,9,3,9,3,9,7,,,,,,,,,,,,
Bleed for This,6000000,4847865,6.8,62,2366810,R,18/11/2016,117,88,8,235,65,78.3333,51,9,3,25,13,8.3333,6.3333,63,58,63,58,63,61,7,2,7,2,7,6,63,58,126,116,63,61,7,2,14,4,7,6
Blended,40000000,46280507,6.5,31,18185000,PG-13,23/05/2014,117,91,1,380,57,76,44.2,10,1,47,15,9.4,6.2,59,18,59,18,59,39,9,4,9,4,9,6,31,31,62,62,31,31,5,5,10,10,5,5
Blind,0,12522,5,83,12522,R,04/09/2015,96,85,16,271,92,67.75,46,9,2,34,8,8.5,6.75,77,17,77,17,77,43,8,1,8,1,8,5,59,27,95,63,47.5,39.5,8,2,10,4,5,4
Blood Father,13000000,0,6.4,66,0,R,12/08/2016,88,90,23,431,170,86.2,61.6,9,2,44,23,8.8,7.2,72,54,72,54,72,66,8,7,8,7,8,8,74,34,146,98,73,63.5,8,4,15,10,7.5,7
Blood Ties,25500000,41229,6.5,45,26912,R,21/03/2014,127,93,21,428,145,85.6,55.8,9,1,44,18,8.8,6.8,82,40,82,40,82,55,8,4,8,4,8,7,82,40,161,85,80.5,61,9,4,17,10,8.5,7
Bloodsucking Bastards,0,0,5.7,50,0,,04/09/2015,86,89,30,265,134,66.25,48.25,10,1,36,15,9,6.75,50,50,50,50,50,50,6,6,6,6,6,6,50,50,100,100,50,50,6,6,12,12,6,6
Blue Ruin,1066167,258113,7.1,77,32608,R,25/04/2014,90,91,39,245,159,81.6667,68,8,3,24,18,8,7.6667,79,77,79,77,79,78,8,7,8,7,8,7,79,77,79,77,79,78,8,7,8,7,8,7
Bone Tomahawk,1800000,0,7.1,72,0,,23/10/2015,132,81,16,381,157,76.2,56.4,9,1,44,19,8.8,6.8,72,72,72,72,72,72,8,7,8,7,8,7,72,72,72,72,72,72,8,7,8,7,8,7
Boo! A Madea Halloween,20000000,73159525,4.7,30,28501448,PG-13,21/10/2016,103,56,29,86,59,43,34,7,4,12,9,6,5,,,,,,,,,,,,,,,,,,,,,,,,
Borgman,3100000,56474,6.8,66,11224,,06/06/2014,113,93,37,375,254,75,63.4,8,5,36,31,7.2,7.2,66,37,66,37,66,52,7,5,7,5,7,7,66,37,66,37,66,52,7,5,7,5,7,7
Born to be Blue,0,667476,6.9,64,46184,R,25/03/2016,97,100,8,421,101,84.2,51,9,2,43,15,8.6,6.8,64,64,64,64,64,64,7,7,7,7,7,7,64,64,64,64,64,64,7,7,7,7,7,7
Boulevard,0,32000,5.8,52,27000,R,10/07/2015,88,85,19,369,195,73.8,57,10,2,44,24,8.8,7.4,67,27,67,27,67,49,9,4,9,4,9,6,52,52,52,52,52,52,6,6,6,6,6,6
Boychoir,0,0,6.7,51,0,PG,03/04/2015,103,87,12,376,131,75.2,52.4,10,3,45,20,9,7,59,39,59,39,59,52,9,6,9,6,9,8,74,51,74,51,74,63,8,7,8,7,8,8
Boyhood,4000000,25359200,7.9,100,387618,R,11/07/2014,165,100,28,500,281,100,73.6,9,1,41,27,8.2,6.8,100,49,100,49,100,75,10,4,10,4,10,8,100,49,100,49,100,75,10,4,10,4,10,8
Bravetown,0,0,6.2,36,0,R,08/05/2015,112,93,14,395,117,79,47.6,9,2,45,14,9,6,36,36,36,36,36,36,5,5,5,5,5,5,66,27,66,27,66,47,8,5,8,5,8,8
Breathe,0,0,0,78,0,PG-13,11/09/2015,91,90,28,306,157,76.5,57.25,9,2,33,20,8.25,7.5,,,,,,,,,,,,,67,45,67,45,67,60,9,6,9,6,9,7
Breathe In,0,15324,6.4,60,15324,R,28/03/2014,98,95,33,259,105,86.3333,59.3333,10,5,27,16,9,7,68,43,68,43,68,55,8,6,8,6,8,7,68,43,136,92,68,56.5,8,6,16,13,8,7
Brick Mansions,28000000,20285518,5.7,40,9516855,PG-13,25/04/2014,90,79,24,359,207,71.8,56,9,4,39,29,7.8,7.2,40,32,40,32,40,36,6,5,6,5,6,6,82,25,164,50,82,51,10,3,20,6,10,7
Bridge of Spies,40000000,72306065,7.6,81,15371203,PG-13,16/10/2015,141,94,30,418,208,83.6,62.4,8,1,40,25,8,6.8,93,28,93,28,93,63,9,4,9,4,9,8,93,34,174,97,87,70,10,6,18,13,9,8
Bridget Joness Baby,35000000,24089465,6.6,59,8571785,R,16/09/2016,123,90,12,331,101,82.75,58,10,1,37,14,9.25,7,,,,,,,,,,,,,89,21,155,65,77.5,54.5,9,4,16,11,8,7
Brooklyn,11000000,38317535,7.5,87,187281,PG-13,04/11/2015,111,88,35,436,367,87.2,79,8,5,40,36,8,7.6,87,50,87,50,87,68,8,6,8,6,8,8,87,34,174,121,87,77.5,9,6,17,14,8.5,7.5
Buddymoon,0,0,6.2,50,0,,01/07/2016,80,75,48,316,271,63.2,58,10,6,45,39,9,9,50,50,50,50,50,50,9,9,9,9,9,9,63,48,123,98,61.5,55,9,6,18,13,9,9
Burning Blue,0,0,5.7,29,0,R,06/06/2014,96,90,19,373,126,74.6,50,9,2,41,19,8.2,7.2,29,29,29,29,29,29,5,5,5,5,5,5,29,29,58,58,29,29,5,5,10,10,5,5
Burning Bush,0,12049,8,83,1049,,11/06/2014,231,83,83,415,415,83,83,7,7,35,35,7,7,,,,,,,,,,,,,,,,,,,,,,,,
Burnt,20000000,13650738,6.6,42,5002521,R,30/10/2015,101,90,17,405,152,81,55.4,9,4,43,22,8.6,6.6,,,,,,,,,,,,,82,30,149,70,74.5,53.5,9,4,18,10,9,7
Burying the Ex,0,0,5.4,37,0,R,19/06/2015,89,82,18,240,93,60,43,9,2,30,12,7.5,5.75,70,37,70,37,70,56,8,1,8,1,8,7,37,37,37,37,37,37,4,4,4,4,4,4
Buzzard,0,13684,6.4,77,2043,,06/03/2015,97,83,28,392,331,78.4,71.4,8,3,34,27,6.8,6.2,77,73,77,73,77,75,6,6,6,6,6,6,77,73,77,73,77,75,6,6,6,6,6,6
By the Sea,10000000,531009,5.2,44,96250,R,13/11/2015,122,99,28,438,177,87.6,62.4,10,2,46,22,9.2,7,74,31,74,31,74,51,10,2,10,2,10,7,74,31,74,31,74,51,10,2,10,2,10,7
Cabin Fever,1500000,21156247,5.6,14,8633585,R,12/02/2016,99,67,8,300,135,60,45,9,1,41,12,8.2,6.6,77,14,77,14,77,50,8,3,8,3,8,6,77,14,133,28,66.5,41,9,3,17,6,8.5,4.5
Cabin Fever: Patient Zero,0,0,4.5,28,0,,01/08/2014,91,94,14,327,109,65.4,41.4,10,4,39,22,7.8,6.4,43,28,43,28,43,36,5,5,5,5,5,5,28,27,28,27,28,28,6,5,6,5,6,5
Café Society,30000000,11078961,6.7,64,359289,PG-13,15/07/2016,96,81,22,342,179,68.4,52.8,10,1,40,25,8,6.8,92,32,92,32,92,63,9,6,9,6,9,8,92,32,92,32,92,63,9,6,9,6,9,8
Cake,7000000,1873547,6.4,49,916179,R,23/01/2015,102,85,18,416,147,83.2,52.4,9,2,42,17,8.4,6.2,56,40,56,40,56,47,8,6,8,6,8,6,49,49,49,49,49,49,6,6,6,6,6,6
Call Me Lucky,0,0,7.6,64,0,,07/08/2015,106,89,32,301,199,75.25,62.25,9,4,28,20,7,6.25,69,38,69,38,69,55,8,5,8,5,8,7,,,,,,,,,,,,
Calvary,0,3593460,7.4,77,74149,R,01/08/2014,100,85,26,409,176,81.8,61.2,9,4,44,25,8.8,7.2,78,50,78,50,78,65,7,6,7,6,7,7,78,50,78,50,78,65,7,6,7,6,7,7
Cam2Cam,0,0,3.7,28,0,,22/08/2014,91,73,1,195,85,48.75,34.25,8,1,30,19,7.5,7,64,21,64,21,64,34,9,4,9,4,9,7,28,28,56,56,28,28,7,7,14,14,7,7
Cameraperson,0,101074,7.5,86,12760,,09/09/2016,102,88,68,88,68,88,77,8,3,8,3,8,7,88,68,88,68,88,77,8,3,8,3,8,7,86,86,86,86,86,86,7,7,7,7,7,7
Camp X-Ray,1000000,9837,7,54,1316,R,17/10/2014,117,95,48,209,155,69.6667,60.3333,9,7,25,23,8.3333,8.3333,54,54,54,54,54,54,8,8,8,8,8,8,54,54,54,54,54,54,8,8,8,8,8,8
Cant Stand Losing You: Surviving the Police,0,23193,6.8,33,5656,,20/03/2015,79,82,33,82,33,82,64.5,10,5,18,15,9,8.5,66,33,99,66,49.5,43.5,9,5,14,10,7,6.5,,,,,,,,,,,,
Cannibal,0,0,6.2,69,0,,25/07/2014,116,89,89,89,89,89,89,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
Canopy,1300000,8462,4.9,64,3042,PG-13,29/08/2014,84,73,31,201,145,67,59,8,5,20,16,6.6667,6,64,64,64,64,64,64,6,6,6,6,6,6,64,64,64,64,64,64,6,6,6,6,6,6
Cantinflas,3000000,6370412,6.6,44,3358013,PG,29/08/2014,102,77,22,211,89,70.3333,49.3333,10,1,24,9,8,6.6667,44,44,44,44,44,44,5,5,5,5,5,5,44,44,88,88,44,44,5,5,10,10,5,5
Captain America: Civil War,250000000,408080554,7.9,75,179139142,PG-13,06/05/2016,147,94,18,430,133,86,57,10,2,46,19,9.2,7,88,28,163,56,81.5,58.5,9,6,18,12,9,8,75,45,150,90,75,63,9,6,18,12,9,7
Captain America: The Winter Soldier,170000000,259746958,7.8,70,95023721,PG-13,04/04/2014,136,95,18,441,121,88.2,57.2,10,1,46,16,9.2,7,88,28,163,56,81.5,58.5,9,6,18,12,9,8,75,45,150,90,75,63,9,6,18,12,9,7
Captain Fantastic,0,5875006,7.9,72,93824,R,08/07/2016,118,82,34,377,227,75.4,60.8,9,3,41,22,8.2,6.6,82,38,82,38,82,60,9,3,9,3,9,8,82,38,82,38,82,60,9,3,9,3,9,8
Captive,2000000,2557668,5.3,37,1393243,PG-13,18/09/2015,97,87,26,161,100,53.6667,41.6667,8,3,18,13,6,5.3333,47,47,47,47,47,47,10,4,10,4,10,9,68,19,68,19,68,37,8,5,8,5,8,7
Cardboard Boxer,10000000,0,6.4,41,0,,16/09/2016,88,94,14,371,128,74.2,50,9,1,42,20,8.4,7,,,,,,,,,,,,,,,,,,,,,,,,
Carnage Park,0,0,4.9,48,0,,01/07/2016,90,88,12,254,170,50.8,42,9,3,31,21,6.2,5.4,60,48,60,48,60,54,6,5,6,5,6,6,60,48,60,48,60,54,6,5,6,5,6,6
Carol,11800000,253510,7.2,95,253510,R,20/11/2015,118,96,21,382,141,95.5,64.5,10,3,36,18,9,7.25,95,49,95,49,95,76,9,4,9,4,9,7,95,50,190,145,95,83.5,9,5,17,13,8.5,8
Cartel Land,0,704352,7.4,76,124000,R,03/07/2015,100,,,,,,,,,,,,,86,67,86,67,86,76,9,8,9,8,9,9,,,,,,,,,,,,
Cas & Dylan,0,0,6.6,32,0,,01/05/2015,90,92,29,393,156,78.6,52.6,9,3,40,15,8,6.8,80,22,80,22,80,47,7,2,7,2,7,5,,,,,,,,,,,,
Cavemen,0,0,5.3,19,0,R,07/02/2014,88,85,10,388,79,77.6,42.8,9,1,40,16,8,6,19,19,19,19,19,19,4,4,4,4,4,4,19,19,19,19,19,19,4,4,4,4,4,4
Cell,0,0,4.3,38,0,R,08/07/2016,98,95,19,329,145,65.8,46,10,2,34,14,6.8,5.2,67,38,67,38,67,53,9,3,9,3,9,6,,,,,,,,,,,,
Cemetery of Splendor,0,0,6.9,87,0,,04/03/2016,122,87,71,435,410,87,85.2,8,7,37,35,7.4,7.2,87,57,87,57,87,75,10,7,10,7,10,8,87,57,87,57,87,75,10,7,10,7,10,8
Censored Voices,450000,34151,7.3,72,6153,,20/11/2015,84,72,47,72,47,72,58,9,5,9,5,9,6,72,72,72,72,72,72,6,6,6,6,6,6,72,72,144,144,72,72,6,6,12,12,6,6
Central Intelligence,50000000,127380061,6.3,52,35535250,PG-13,17/06/2016,107,88,8,304,123,76,53,10,1,38,17,9.5,7.25,59,38,59,38,59,50,7,5,7,5,7,7,52,52,52,52,52,52,7,7,7,7,7,7
Cesar Chavez,10000000,5550866,6.4,51,2861528,PG-13,28/03/2014,102,57,32,218,185,54.5,50.75,8,4,26,22,6.5,6,88,39,88,39,88,63,9,5,9,5,9,7,84,51,163,102,81.5,63.5,9,6,17,12,8.5,8
Chappie,49000000,31569268,6.9,41,13346782,R,06/03/2015,120,90,20,288,121,72,50.5,9,3,32,20,8,7,81,41,81,41,81,61,8,7,8,7,8,8,81,41,162,82,81,61,8,7,16,14,8,8
Cheap Thrills,200000,59379,6.8,63,18638,,21/03/2014,88,88,10,382,118,76.4,49.2,9,3,43,19,8.6,6.6,63,45,63,45,63,55,9,6,9,6,9,7,63,24,126,77,63,50.5,8,5,16,11,8,7.5
Chef,11000000,31237528,7.3,68,204961,R,09/05/2014,114,90,18,408,120,81.6,54.6,10,1,45,12,9,6.4,79,20,79,20,79,52,9,1,9,1,9,7,79,20,79,20,79,52,9,1,9,1,9,7
Chi-Raq,0,2647377,5.7,77,1198356,R,04/12/2015,127,95,13,328,96,82,53.75,9,1,33,10,8.25,6,91,28,91,28,91,64,9,1,9,1,9,7,91,28,168,90,84,67,9,1,16,6,8,7
Child 44,50000000,1206135,6.5,41,621812,R,17/04/2015,137,95,31,324,150,81,57.75,9,4,34,19,8.5,7,75,41,75,41,75,56,7,4,7,4,7,6,77,41,118,82,59,50,9,2,14,7,7,6
Child of God,0,37949,5.5,50,27630,R,01/08/2014,104,86,16,306,150,76.5,56,10,1,36,12,9,7.25,84,16,84,16,84,53,10,1,10,1,10,7,84,16,166,44,83,52,10,1,20,2,10,6.5
Childs Pose,850000,94853,7.5,77,12955,,19/02/2014,112,97,31,414,277,82.8,68.8,10,3,39,28,7.8,7.2,77,63,77,63,77,70,7,7,7,7,7,7,97,63,174,129,87,75.5,10,6,17,13,8.5,7
Chinese Puzzle,0,335430,7,64,23544,R,16/05/2014,117,87,19,386,159,77.2,56.4,10,2,44,24,8.8,6.8,68,52,68,52,68,63,7,5,7,5,7,7,68,52,68,52,68,63,7,5,7,5,7,7
Christine,9700000,21200000,6.6,72,0,,14/10/2016,119,84,13,276,105,69,51,10,4,36,21,9,7.5,89,19,89,19,89,51,10,1,10,1,10,7,,,,,,,,,,,,
Cinderella,95000000,201148159,7,67,67877361,PG,13/03/2015,105,95,34,421,188,84.2,57.4,10,3,44,20,8.8,7,94,35,94,35,94,59,9,5,9,5,9,7,91,32,91,32,91,58,9,4,9,4,9,7
Citizenfour,0,2798808,8.1,88,193957,R,24/10/2014,114,88,63,440,374,88,81.6,8,5,40,36,8,8,88,68,88,68,88,75,8,1,8,1,8,7,,,,,,,,,,,,
City of Gold,0,0,6.8,72,0,,11/03/2016,96,77,49,138,99,69,59,7,5,14,12,7,7,86,41,86,41,86,56,8,2,8,2,8,7,,,,,,,,,,,,
Closet Monster,0,41866,7,81,6118,,23/09/2016,90,86,23,401,225,80.2,61.2,10,3,44,25,8.8,7.4,81,74,81,74,81,78,8,8,8,8,8,8,81,74,81,74,81,78,8,8,8,8,8,8
Clouds of Sils Maria,0,1811138,6.8,78,61810,R,10/04/2015,124,89,33,414,208,82.8,62.8,9,4,42,23,8.4,7,94,43,94,43,94,71,8,6,8,6,8,7,94,43,94,43,94,71,8,6,8,6,8,7
Clown,1500000,51809,5.7,42,26920,R,17/06/2016,100,85,8,288,176,57.6,46.4,10,1,38,24,7.6,6.6,73,42,73,42,73,60,8,5,8,5,8,6,73,42,146,84,73,61,8,5,16,11,8,7
Code Black,0,0,7.9,77,0,,20/06/2014,78,84,20,243,166,60.75,51.25,9,3,30,22,7.5,6.75,,,,,,,,,,,,,68,25,68,25,68,41,8,5,8,5,8,8
Coherence,0,68877,7.2,65,17000,,20/06/2014,89,68,33,328,226,65.6,55.8,9,4,41,32,8.2,7.8,75,65,75,65,75,70,8,8,8,8,8,8,75,65,150,130,75,70,8,8,16,16,8,8
Cold Comes the Night,0,0,5.7,37,0,R,10/01/2014,90,82,23,354,157,70.8,49.8,10,3,41,19,8.2,6.6,67,37,67,37,67,52,8,5,8,5,8,8,68,32,135,69,67.5,51,8,4,16,9,8,7
Cold in July,0,414623,6.8,73,65000,R,23/05/2014,109,86,20,381,233,76.2,63.2,9,2,40,26,8,7.2,73,66,73,66,73,70,8,5,8,5,8,7,73,40,146,106,73,65,8,5,16,10,8,7
Coldwater,700000,0,6.4,44,0,,15/08/2014,104,63,24,214,141,53.5,44.25,8,4,29,23,7.25,6.5,72,44,72,44,72,58,7,6,7,6,7,7,72,44,116,88,58,51,7,6,14,13,7,7
Collateral Beauty,36000000,30982955,6.8,23,7102085,PG-13,16/12/2016,97,91,18,431,110,86.2,56,9,1,43,17,8.6,7.2,65,21,65,21,65,45,8,6,8,6,8,7,63,33,63,33,63,48,8,6,8,6,8,6
